epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.023,1.40003,2.88625,1.55938,0.51152,0.40126,0.38823,0.22607,1.52438,1.95877,1.66085,0.00033223,0.00033223,0.00033223
2,226.436,1.35667,1.93575,1.5003,0.5898,0.48392,0.46685,0.26641,1.55463,1.6891,1.64722,0.000652385,0.000652385,0.000652385
3,339.31,1.32899,1.60861,1.46598,0.57497,0.4881,0.49652,0.27497,1.63236,1.5564,1.78132,0.00095934,0.00095934,0.00095934
4,452.086,1.31024,1.44595,1.44707,0.68048,0.53559,0.5746,0.32416,1.55523,1.44,1.62224,0.0009406,0.0009406,0.0009406
5,572.982,1.25822,1.31063,1.40136,0.69185,0.52315,0.55078,0.34459,1.38886,1.31957,1.51859,0.0009208,0.0009208,0.0009208
6,694.308,1.22613,1.2392,1.37718,0.72523,0.57857,0.60999,0.36042,1.42285,1.2142,1.52768,0.000901,0.000901,0.000901
7,815.587,1.20763,1.17453,1.36926,0.72404,0.57814,0.61567,0.38426,1.32888,1.1049,1.45138,0.0008812,0.0008812,0.0008812
8,934.685,1.19244,1.12548,1.35078,0.82451,0.56273,0.63779,0.40406,1.30865,1.11467,1.45682,0.0008614,0.0008614,0.0008614
9,1051.17,1.16735,1.09029,1.33406,0.76043,0.61401,0.65498,0.4107,1.27904,1.05309,1.4295,0.0008416,0.0008416,0.0008416
10,1172.4,1.14482,1.04254,1.3109,0.74821,0.57558,0.63055,0.39626,1.26797,0.99772,1.43663,0.0008218,0.0008218,0.0008218
11,1289.69,1.12619,1.0187,1.31178,0.78986,0.60474,0.64271,0.41573,1.23114,1.04463,1.38667,0.000802,0.000802,0.000802
12,1409.7,1.11326,1.00089,1.30155,0.82957,0.58612,0.66029,0.42909,1.2666,1.02547,1.39804,0.0007822,0.0007822,0.0007822
13,1530.15,1.11068,0.9733,1.29393,0.78344,0.62436,0.6666,0.4258,1.29764,1.01689,1.44596,0.0007624,0.0007624,0.0007624
14,1651.06,1.07437,0.94091,1.26276,0.84368,0.60609,0.65966,0.42547,1.2344,0.95956,1.35596,0.0007426,0.0007426,0.0007426
15,1770.57,1.06653,0.92769,1.26754,0.84443,0.59471,0.67482,0.45251,1.19892,0.94155,1.33953,0.0007228,0.0007228,0.0007228
16,1885.57,1.06661,0.91346,1.26087,0.85574,0.61984,0.67051,0.44353,1.19867,0.9485,1.35723,0.000703,0.000703,0.000703
17,1998.77,1.05124,0.8904,1.24919,0.86555,0.6063,0.66544,0.44594,1.18737,0.93659,1.34811,0.0006832,0.0006832,0.0006832
18,2111.64,1.04383,0.89248,1.24881,0.85022,0.64506,0.68909,0.4534,1.20418,0.90927,1.36499,0.0006634,0.0006634,0.0006634
19,2232.61,1.03183,0.85648,1.22815,0.86296,0.64407,0.68206,0.45508,1.17877,0.87881,1.33827,0.0006436,0.0006436,0.0006436
20,2347.94,1.01809,0.85249,1.23341,0.79785,0.63763,0.68133,0.45502,1.18105,0.88985,1.33826,0.0006238,0.0006238,0.0006238
21,2465.74,1.01405,0.83609,1.23004,0.82842,0.61979,0.69119,0.4569,1.17422,0.90796,1.31384,0.000604,0.000604,0.000604
22,2584.21,1.00203,0.82465,1.221,0.87097,0.60968,0.68187,0.46388,1.13573,0.90018,1.2853,0.0005842,0.0005842,0.0005842
23,2698.14,0.99798,0.81451,1.21284,0.87456,0.63499,0.69834,0.46344,1.15885,0.88381,1.34056,0.0005644,0.0005644,0.0005644
24,2815.55,0.98938,0.80106,1.20638,0.87179,0.63869,0.694,0.46433,1.15413,0.85788,1.32589,0.0005446,0.0005446,0.0005446
25,2930.72,0.97203,0.77754,1.19766,0.84399,0.65531,0.6967,0.47589,1.14895,0.85601,1.32414,0.0005248,0.0005248,0.0005248
26,3042.91,0.96371,0.78806,1.19457,0.84426,0.62003,0.67983,0.45819,1.14616,0.86042,1.31927,0.000505,0.000505,0.000505
27,3155.2,0.96563,0.77138,1.1915,0.87924,0.6296,0.6892,0.47366,1.13859,0.83442,1.30552,0.0004852,0.0004852,0.0004852
28,3267.34,0.95372,0.75728,1.17998,0.86494,0.62221,0.69223,0.46944,1.14207,0.84863,1.29538,0.0004654,0.0004654,0.0004654
29,3379.81,0.95181,0.75366,1.1833,0.84113,0.64524,0.69388,0.48164,1.15654,0.84326,1.32233,0.0004456,0.0004456,0.0004456
30,3492.48,0.94558,0.74346,1.17031,0.86597,0.64879,0.70164,0.46598,1.14298,0.83393,1.31215,0.0004258,0.0004258,0.0004258
31,3604.82,0.94062,0.73446,1.17592,0.86955,0.63339,0.69943,0.48383,1.12123,0.85941,1.28849,0.000406,0.000406,0.000406
32,3717.18,0.93556,0.7292,1.17004,0.85298,0.64922,0.69894,0.48527,1.09829,0.8314,1.28113,0.0003862,0.0003862,0.0003862
33,3829.08,0.92235,0.71866,1.16387,0.89336,0.63277,0.70567,0.48295,1.13286,0.82064,1.2832,0.0003664,0.0003664,0.0003664
34,3941.64,0.91543,0.712,1.15336,0.87754,0.64033,0.70236,0.49336,1.10072,0.81234,1.27733,0.0003466,0.0003466,0.0003466
35,4054.01,0.89962,0.69472,1.14888,0.85991,0.64801,0.71072,0.49439,1.10268,0.78153,1.28503,0.0003268,0.0003268,0.0003268
36,4166.5,0.90167,0.69659,1.15105,0.88091,0.63705,0.70642,0.48906,1.09976,0.80367,1.26428,0.000307,0.000307,0.000307
37,4278.2,0.89977,0.70269,1.15574,0.88637,0.64055,0.70786,0.49089,1.09237,0.80554,1.26061,0.0002872,0.0002872,0.0002872
38,4390.12,0.89153,0.68557,1.14523,0.90081,0.62697,0.70914,0.49212,1.10163,0.79742,1.26733,0.0002674,0.0002674,0.0002674
39,4503.18,0.88839,0.67195,1.14073,0.86042,0.65354,0.71492,0.49453,1.08858,0.79185,1.25662,0.0002476,0.0002476,0.0002476
40,4615.29,0.87186,0.66047,1.13632,0.88214,0.6434,0.70626,0.49346,1.09685,0.79377,1.26822,0.0002278,0.0002278,0.0002278
41,4724.23,0.89834,0.59895,1.15326,0.89878,0.62565,0.69177,0.48925,1.0909,0.79275,1.25809,0.000208,0.000208,0.000208
42,4831.9,0.88018,0.57231,1.1373,0.86982,0.63893,0.70158,0.48567,1.10138,0.79059,1.26237,0.0001882,0.0001882,0.0001882
43,4938.86,0.87303,0.56172,1.12804,0.88141,0.64047,0.69912,0.49043,1.09061,0.78288,1.27447,0.0001684,0.0001684,0.0001684
44,5047.71,0.86016,0.54922,1.11449,0.86589,0.65159,0.70782,0.49352,1.10144,0.77706,1.27205,0.0001486,0.0001486,0.0001486
45,5163.67,0.8469,0.54255,1.11792,0.86629,0.65119,0.70748,0.50021,1.07214,0.76373,1.24382,0.0001288,0.0001288,0.0001288
46,5277.98,0.84025,0.5301,1.11263,0.87202,0.65976,0.71222,0.50216,1.06327,0.75381,1.23281,0.000109,0.000109,0.000109
47,5393.69,0.82745,0.52501,1.10122,0.87735,0.66587,0.71136,0.50234,1.06107,0.73923,1.23972,8.92e-05,8.92e-05,8.92e-05
48,5505.82,0.82451,0.51888,1.10694,0.86981,0.66039,0.71121,0.50339,1.06686,0.73154,1.24972,6.94e-05,6.94e-05,6.94e-05
49,5618.5,0.80715,0.51005,1.08907,0.89261,0.65052,0.7136,0.50841,1.06407,0.73718,1.24767,4.96e-05,4.96e-05,4.96e-05
50,5724.62,0.80766,0.51176,1.09405,0.88626,0.65251,0.70968,0.50183,1.06072,0.74212,1.24769,2.98e-05,2.98e-05,2.98e-05
