epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.104,1.34903,2.2515,1.53528,0.59989,0.48032,0.50617,0.30305,1.4329,1.32398,1.54411,0.0033223,0.0033223,0.0033223
2,249.056,1.25739,1.33016,1.4187,0.64755,0.50792,0.56872,0.35444,1.36075,1.39602,1.45911,0.00663916,0.00663916,0.00663916
3,378.102,1.30145,1.2859,1.43846,0.56419,0.53386,0.52213,0.30159,1.46114,1.43889,1.65279,0.00993952,0.00993952,0.00993952
4,507.061,1.34837,1.31839,1.46878,0.6467,0.53136,0.54582,0.3342,1.49357,1.46021,1.65333,0.00992575,0.00992575,0.00992575
5,636.223,1.30388,1.24159,1.42851,0.69306,0.53522,0.56421,0.32341,1.49617,1.36799,1.5882,0.009901,0.009901,0.009901
6,766.093,1.2745,1.16205,1.40862,0.73019,0.57636,0.61628,0.37205,1.36011,1.23116,1.51743,0.00987625,0.00987625,0.00987625
7,895.83,1.23626,1.09292,1.38291,0.75828,0.59944,0.64223,0.39089,1.3204,1.047,1.4718,0.0098515,0.0098515,0.0098515
8,1025.58,1.21282,1.05121,1.36087,0.66277,0.6463,0.66147,0.41968,1.2752,1.02536,1.42372,0.00982675,0.00982675,0.00982675
9,1155.88,1.19123,1.03406,1.34828,0.79696,0.61042,0.6512,0.41645,1.26978,0.98887,1.41967,0.009802,0.009802,0.009802
10,1286.25,1.15601,0.9837,1.31548,0.74451,0.63922,0.6599,0.41486,1.28721,0.95966,1.45829,0.00977725,0.00977725,0.00977725
11,1416.49,1.13529,0.961,1.31198,0.80259,0.62878,0.67281,0.43772,1.22939,0.95845,1.38027,0.0097525,0.0097525,0.0097525
12,1547.06,1.12031,0.93677,1.30155,0.79864,0.65775,0.6937,0.44876,1.22692,0.89617,1.36726,0.00972775,0.00972775,0.00972775
13,1677.69,1.11348,0.91722,1.29426,0.80932,0.62947,0.68336,0.44825,1.21583,0.89157,1.38028,0.009703,0.009703,0.009703
14,1808.25,1.07765,0.87436,1.2629,0.82368,0.61569,0.684,0.44442,1.17756,0.87444,1.34467,0.00967825,0.00967825,0.00967825
15,1938.95,1.07034,0.8714,1.26051,0.81556,0.65698,0.70697,0.45995,1.17216,0.86386,1.35691,0.0096535,0.0096535,0.0096535
16,2069.48,1.06544,0.85671,1.25425,0.85228,0.64999,0.69986,0.47237,1.1397,0.84436,1.31043,0.00962875,0.00962875,0.00962875
17,2200.41,1.05182,0.83752,1.24687,0.86325,0.62418,0.70317,0.47003,1.16415,0.856,1.33647,0.009604,0.009604,0.009604
18,2330.18,1.04655,0.82747,1.24531,0.83753,0.64949,0.7048,0.46891,1.17135,0.83454,1.3288,0.00957925,0.00957925,0.00957925
19,2461.31,1.02547,0.80002,1.22336,0.86512,0.64504,0.71647,0.47672,1.14502,0.82823,1.30473,0.0095545,0.0095545,0.0095545
20,2591.61,1.01774,0.80014,1.22968,0.83166,0.66489,0.70971,0.4666,1.16362,0.82787,1.33147,0.00952975,0.00952975,0.00952975
21,2721.98,1.00633,0.7856,1.22372,0.80891,0.65553,0.71344,0.47666,1.17868,0.82701,1.32754,0.009505,0.009505,0.009505
22,2852.58,0.99499,0.77329,1.21517,0.80495,0.64832,0.71122,0.47704,1.17846,0.85588,1.34459,0.00948025,0.00948025,0.00948025
23,2983.12,0.9877,0.75665,1.20204,0.83782,0.66701,0.72084,0.48286,1.1497,0.80874,1.32263,0.0094555,0.0094555,0.0094555
24,3113.48,0.98077,0.75075,1.19806,0.84989,0.65901,0.71893,0.49786,1.12625,0.80503,1.29517,0.00943075,0.00943075,0.00943075
25,3244.25,0.97325,0.73314,1.19105,0.85673,0.66454,0.72805,0.49222,1.11648,0.79948,1.28878,0.009406,0.009406,0.009406
26,3374.68,0.97128,0.74529,1.19209,0.8529,0.67141,0.74429,0.5054,1.11613,0.75769,1.30713,0.00938125,0.00938125,0.00938125
27,3505.75,0.96504,0.72431,1.18769,0.87955,0.6733,0.74465,0.51373,1.13918,0.80379,1.30567,0.0093565,0.0093565,0.0093565
28,3636.89,0.95694,0.70985,1.17524,0.84539,0.67627,0.73292,0.48758,1.14923,0.78823,1.31894,0.00933175,0.00933175,0.00933175
29,3767.6,0.95884,0.71341,1.18389,0.867,0.64798,0.71911,0.49348,1.10351,0.78361,1.28081,0.009307,0.009307,0.009307
30,3898.21,0.95227,0.70462,1.16864,0.86667,0.67306,0.73178,0.50738,1.08523,0.75926,1.24735,0.00928225,0.00928225,0.00928225
31,4029.37,0.94568,0.69964,1.1754,0.83856,0.68567,0.73299,0.50551,1.10753,0.76684,1.28953,0.0092575,0.0092575,0.0092575
32,4160.12,0.94325,0.69852,1.16815,0.9005,0.65911,0.73536,0.49381,1.11659,0.78054,1.27878,0.00923275,0.00923275,0.00923275
